                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.95386,                0.53054,                0.88397,                0.83065,                0.64462,                 0.7103,                0.41561,                 1.1761,                 0.6233,                0.93577,              0.0094408,              0.0094408,              0.0094408
                     86,                0.96105,                0.53129,                0.88538,                  0.814,                0.63361,                0.70772,                0.42214,                 1.1613,                0.62579,                0.92516,              0.0094341,              0.0094341,              0.0094341
                     87,                0.96362,                0.53297,                 0.8844,                 0.8148,                0.62371,                0.70184,                0.41301,                 1.1735,                0.64045,                 0.9377,              0.0094274,              0.0094274,              0.0094274
                     88,                0.95655,                0.52951,                0.88421,                0.78552,                0.64613,                0.70833,                0.41621,                 1.1763,                0.64152,                0.93136,              0.0094208,              0.0094208,              0.0094208
                     89,                0.95131,                0.52754,                0.88414,                0.82195,                0.63193,                0.70199,                0.41601,                 1.1702,                0.63124,                0.93361,              0.0094145,              0.0094145,              0.0094145
                     90,                0.95373,                0.52635,                0.88293,                0.83093,                0.63856,                0.71778,                0.42121,                 1.1623,                0.63315,                0.93117,              0.0094079,              0.0094079,              0.0094079
                     91,                0.94626,                0.52304,                0.88122,                0.80435,                0.63174,                0.69899,                 0.4161,                 1.1663,                0.64388,                0.93482,              0.0094012,              0.0094012,              0.0094012
                     92,                0.94982,                  0.523,                0.88242,                0.82483,                0.63461,                0.70403,                0.42428,                 1.1656,                0.63614,                0.93399,              0.0093946,              0.0093946,              0.0093946
                     93,                0.94204,                0.52236,                 0.8809,                0.79251,                0.64958,                0.69784,                0.41915,                  1.172,                0.63988,                0.93231,              0.0093879,              0.0093879,              0.0093879
                     94,                0.94853,                0.52581,                0.88353,                0.82017,                0.63448,                0.70659,                0.41467,                 1.1798,                0.64462,                0.94189,              0.0093817,              0.0093817,              0.0093817
                     95,                0.94641,                0.52376,                0.88115,                0.82185,                0.63164,                0.70282,                0.41306,                 1.1653,                0.64597,                0.93028,               0.009375,               0.009375,               0.009375
