                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2157,                0.74965,                0.95553,                0.62057,                0.38163,                0.41441,                0.22526,                 1.1803,                0.69008,                0.92859,              0.0026826,              0.0026826,              0.0026826
                     53,                 1.2116,                0.74673,                0.95431,                0.62006,                0.38312,                0.41531,                0.22555,                 1.1797,                0.68951,                0.92826,              0.0025391,              0.0025391,              0.0025391
                     54,                 1.2139,                0.74535,                0.95392,                0.61785,                0.38351,                0.41622,                0.22605,                 1.1791,                0.68918,                 0.9279,              0.0023957,              0.0023957,              0.0023957
                     55,                 1.2098,                0.74276,                0.95294,                0.61711,                0.38392,                0.41632,                0.22627,                 1.1786,                0.68885,                0.92765,              0.0022522,              0.0022522,              0.0022522
                     56,                 1.2076,                0.74076,                0.95186,                0.61971,                0.38377,                0.41674,                0.22653,                 1.1781,                0.68842,                0.92736,              0.0021087,              0.0021087,              0.0021087
                     57,                 1.2046,                0.73706,                  0.951,                0.61704,                0.38572,                0.41726,                0.22668,                 1.1776,                0.68808,                0.92707,              0.0019652,              0.0019652,              0.0019652
                     58,                 1.2048,                0.73659,                0.95149,                0.61664,                0.38581,                0.41762,                0.22725,                 1.1771,                0.68763,                0.92691,              0.0018217,              0.0018217,              0.0018217
                     59,                 1.2015,                 0.7323,                0.94987,                0.61875,                0.38572,                0.41847,                0.22741,                 1.1767,                 0.6873,                0.92663,              0.0016783,              0.0016783,              0.0016783
                     60,                 1.2275,                 0.7284,                0.95041,                0.62389,                0.38355,                0.41887,                0.22796,                 1.1761,                0.68711,                0.92645,              0.0015348,              0.0015348,              0.0015348
                     61,                 1.2241,                0.72406,                0.94844,                0.62728,                0.38253,                0.41905,                0.22838,                 1.1759,                0.68717,                0.92627,              0.0013913,              0.0013913,              0.0013913
                     62,                 1.2217,                0.72122,                0.94823,                0.62637,                0.38252,                0.41957,                0.22877,                 1.1756,                0.68703,                0.92612,              0.0012478,              0.0012478,              0.0012478
                     63,                 1.2186,                 0.7191,                0.94766,                0.62941,                0.38358,                0.41995,                0.22921,                 1.1752,                  0.687,                0.92603,              0.0012314,              0.0012314,              0.0012314
                     64,                 1.2178,                0.71729,                0.94736,                0.63076,                 0.3833,                0.42055,                0.22942,                 1.1749,                0.68681,                0.92581,                0.00109,                0.00109,                0.00109
                     65,                 1.2139,                0.71294,                0.94536,                0.62977,                0.38397,                 0.4205,                0.22949,                 1.1746,                0.68663,                0.92564,             0.00094857,             0.00094857,             0.00094857
                     66,                 1.2111,                0.70946,                0.94426,                0.62805,                0.38504,                0.42076,                0.22981,                 1.1744,                0.68649,                0.92549,             0.00080714,             0.00080714,             0.00080714
                     67,                 1.2081,                0.70549,                0.94324,                0.62853,                0.38592,                 0.4216,                0.22994,                 1.1739,                0.68617,                0.92517,             0.00066571,             0.00066571,             0.00066571
                     68,                 1.2055,                0.70273,                0.94258,                 0.6254,                0.38563,                0.42137,                0.23017,                 1.1737,                0.68581,                0.92506,             0.00052429,             0.00052429,             0.00052429
                     69,                 1.2035,                0.69934,                0.94165,                0.62781,                0.38587,                0.42176,                0.23073,                 1.1735,                0.68541,                0.92485,             0.00038286,             0.00038286,             0.00038286
                     70,                 1.1966,                0.69282,                0.93987,                0.63082,                0.38429,                0.42202,                0.23075,                 1.1733,                0.68518,                0.92477,             0.00024143,             0.00024143,             0.00024143
